road_link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,travel_time,speed,notes
3002,3,2,0753:00_0754:00,1.000,82.000,12.000,0.000,45.000,60.000,simulation-based
3002,3,2,0754:00_0755:00,2.000,85.000,14.000,0.000,45.000,60.000,simulation-based
3002,3,2,0755:00_0756:00,0.000,86.000,14.000,0.000,45.000,60.000,simulation-based
3002,3,2,0756:00_0757:00,2.000,87.000,16.000,0.000,45.000,60.000,simulation-based
3002,3,2,0757:00_0758:00,1.000,89.000,17.000,1.000,46.000,58.696,simulation-based
3002,3,2,0758:00_0759:00,3.000,89.000,20.000,1.000,45.333,59.559,simulation-based
3002,3,2,0759:00_0800:00,2.000,89.000,22.000,0.000,45.000,60.000,simulation-based
3002,3,2,0800:00_0801:00,0.000,91.000,22.000,1.000,46.000,58.696,simulation-based
3002,3,2,0801:00_0802:00,3.000,91.000,25.000,0.000,45.000,60.000,simulation-based
3002,3,2,0802:00_0803:00,0.000,93.000,25.000,0.000,45.000,60.000,simulation-based
3002,3,2,0803:00_0804:00,0.000,93.000,25.000,1.000,46.000,58.696,simulation-based
3002,3,2,0804:00_0805:00,1.000,95.000,26.000,0.000,45.000,60.000,simulation-based
3002,3,2,0805:00_0806:00,1.000,96.000,27.000,0.000,45.000,60.000,simulation-based
3002,3,2,0806:00_0807:00,2.000,97.000,29.000,0.000,45.000,60.000,simulation-based
3002,3,2,0807:00_0808:00,1.000,97.000,30.000,0.000,45.000,60.000,simulation-based
3002,3,2,0808:00_0809:00,4.000,98.000,34.000,0.000,45.000,60.000,simulation-based
3002,3,2,0809:00_0810:00,2.000,98.000,36.000,0.000,45.000,60.000,simulation-based
3002,3,2,0810:00_0811:00,1.000,100.000,37.000,1.000,46.000,58.696,simulation-based
3002,3,2,0811:00_0812:00,3.000,101.000,40.000,0.000,45.000,60.000,simulation-based
3002,3,2,0812:00_0813:00,1.000,102.000,41.000,0.000,45.000,60.000,simulation-based
3002,3,2,0813:00_0814:00,0.000,104.000,41.000,0.000,45.000,60.000,simulation-based
3002,3,2,0814:00_0815:00,1.000,104.000,42.000,0.000,45.000,60.000,simulation-based
3002,3,2,0815:00_0816:00,4.000,105.000,46.000,0.000,45.000,60.000,simulation-based
3002,3,2,0816:00_0817:00,1.000,107.000,47.000,0.000,45.000,60.000,simulation-based
3002,3,2,0817:00_0818:00,1.000,111.000,48.000,0.000,45.000,60.000,simulation-based
3002,3,2,0818:00_0819:00,0.000,111.000,48.000,0.000,45.000,60.000,simulation-based
3002,3,2,0819:00_0820:00,1.000,113.000,49.000,0.000,45.000,60.000,simulation-based
3002,3,2,0820:00_0821:00,3.000,114.000,52.000,0.000,45.000,60.000,simulation-based
3002,3,2,0821:00_0822:00,3.000,115.000,55.000,0.000,45.000,60.000,simulation-based
3002,3,2,0822:00_0823:00,0.000,117.000,55.000,0.000,45.000,60.000,simulation-based
3002,3,2,0823:00_0824:00,2.000,118.000,57.000,0.000,45.000,60.000,simulation-based
3002,3,2,0824:00_0825:00,2.000,120.000,59.000,0.000,45.000,60.000,simulation-based
3002,3,2,0825:00_0826:00,1.000,120.000,60.000,0.000,45.000,60.000,simulation-based
3002,3,2,0826:00_0827:00,1.000,122.000,61.000,0.000,45.000,60.000,simulation-based
3002,3,2,0827:00_0828:00,3.000,122.000,64.000,0.000,45.000,60.000,simulation-based
3002,3,2,0828:00_0829:00,1.000,124.000,65.000,0.000,45.000,60.000,simulation-based
3002,3,2,0829:00_0830:00,1.000,124.000,66.000,0.000,45.000,60.000,simulation-based
3002,3,2,0830:00_0831:00,3.000,124.000,69.000,0.000,45.000,60.000,simulation-based
3002,3,2,0831:00_0832:00,3.000,127.000,72.000,0.000,45.000,60.000,simulation-based
3002,3,2,0832:00_0833:00,1.000,128.000,73.000,0.000,45.000,60.000,simulation-based
3002,3,2,0833:00_0834:00,2.000,131.000,75.000,0.000,45.000,60.000,simulation-based
3002,3,2,0834:00_0835:00,0.000,133.000,75.000,0.000,45.000,60.000,simulation-based
3002,3,2,0835:00_0836:00,2.000,133.000,77.000,0.000,45.000,60.000,simulation-based
3002,3,2,0836:00_0837:00,1.000,134.000,78.000,0.000,45.000,60.000,simulation-based
3002,3,2,0837:00_0838:00,2.000,135.000,80.000,0.000,45.000,60.000,simulation-based
3002,3,2,0838:00_0839:00,2.000,137.000,82.000,0.000,45.000,60.000,simulation-based
3002,3,2,0839:00_0840:00,3.000,137.000,85.000,0.000,45.000,60.000,simulation-based
3002,3,2,0840:00_0841:00,1.000,139.000,86.000,0.000,45.000,60.000,simulation-based
3002,3,2,0841:00_0842:00,1.000,139.000,87.000,0.000,45.000,60.000,simulation-based
3002,3,2,0842:00_0843:00,2.000,140.000,89.000,0.000,45.000,60.000,simulation-based
3002,3,2,0843:00_0844:00,0.000,142.000,89.000,0.000,45.000,60.000,simulation-based
3002,3,2,0844:00_0845:00,0.000,143.000,89.000,0.000,45.000,60.000,simulation-based
3002,3,2,0845:00_0846:00,1.000,146.000,90.000,1.000,46.000,58.696,simulation-based
3002,3,2,0846:00_0847:00,1.000,147.000,91.000,0.000,45.000,60.000,simulation-based
3002,3,2,0847:00_0848:00,2.000,149.000,93.000,0.000,45.000,60.000,simulation-based
3002,3,2,0848:00_0849:00,0.000,149.000,93.000,0.000,45.000,60.000,simulation-based
3002,3,2,0849:00_0850:00,1.000,152.000,94.000,1.000,46.000,58.696,simulation-based
3002,3,2,0850:00_0851:00,2.000,153.000,96.000,0.000,45.000,60.000,simulation-based
3002,3,2,0851:00_0852:00,1.000,154.000,97.000,0.000,45.000,60.000,simulation-based
3002,3,2,0852:00_0853:00,0.000,154.000,97.000,0.000,45.000,60.000,simulation-based
3002,3,2,0853:00_0854:00,1.000,154.000,98.000,0.000,45.000,60.000,simulation-based
